game,winner,selections
1,p0,81
2,p0,212
3,p0,275
4,p1,180
5,p1,212
6,p1,155
7,p1,193
8,p0,181
9,p0,257
10,p0,133
11,p1,212
12,p0,189
13,p0,29
14,p0,189
15,p0,210
16,p1,210
17,p1,157
18,p1,247
19,p0,234
20,p1,191
21,p0,274
22,p1,110
23,p0,278
24,p1,189
25,p1,70
26,p0,220
27,p0,264
28,p1,147
29,p1,160
30,p0,252
31,p0,41
32,p0,243
33,p0,133
34,p1,36
35,p1,69
36,p0,92
37,p0,250
38,p0,135
39,p0,67
40,p1,128
41,p0,187
42,p0,111
43,p0,151
44,p0,62
45,p1,244
46,p1,161
47,p0,260
48,p0,212
49,p0,30
50,p1,213
