game,winner,selections
1,p0,267
2,p0,156
3,p0,329
4,p1,234
5,p0,172
6,p0,115
7,p0,199
8,p1,172
9,p1,209
10,p1,160
11,p1,80
12,p1,198
13,p1,206
14,p1,286
15,p0,209
16,p0,106
17,p0,15
18,p0,126
19,p1,102
20,p1,260
21,p0,245
22,p1,24
23,p0,179
24,p0,255
25,p0,207
26,p0,154
27,p0,235
28,p0,289
29,p1,24
30,p1,22
31,p0,293
32,p1,250
33,p1,233
34,p0,105
35,p0,158
36,p1,126
37,p1,206
38,p1,250
39,p0,226
40,p0,21
41,p0,209
42,p0,215
43,p0,304
44,p1,233
45,p1,209
46,p1,16
47,p0,207
48,p1,72
49,p1,300
50,p0,231
