game,winner,selections
1,p0,185
2,p0,192
3,p0,11
4,p0,212
5,p0,180
6,p0,27
7,p0,256
8,p1,123
9,p0,113
10,p1,107
11,p0,211
12,p0,162
13,p0,225
14,p0,214
15,p1,205
16,p0,182
17,p0,137
18,p1,127
19,p1,301
20,p1,175
21,p0,91
22,p0,206
23,p1,246
24,p0,279
25,p0,191
26,p0,176
27,p0,263
28,p0,230
29,p0,277
30,p1,183
31,p0,245
32,p0,202
33,p1,187
34,p0,226
35,p0,291
36,p0,267
37,p1,231
38,p0,247
39,p1,179
40,p0,135
41,p1,221
42,p0,18
43,p0,249
44,p1,139
45,p0,258
46,p0,231
47,p0,204
48,p1,209
49,p1,19
50,p0,191
