game,winner,selections
1,p1,247
2,p0,248
3,p0,131
4,p1,280
5,p1,241
6,p0,45
7,p0,266
8,p0,184
9,p0,238
10,p1,106
11,p0,225
12,p1,116
13,p0,13
14,p0,233
15,p0,189
16,p0,214
17,p1,237
18,p0,91
19,p1,314
20,p1,211
21,p1,235
22,p1,16
23,p1,152
24,p1,21
25,p0,235
26,p0,216
27,p0,169
28,p0,189
29,p1,236
30,p0,199
31,p0,265
32,p0,223
33,p1,266
34,p1,188
35,p0,179
36,p1,118
37,p0,210
38,p0,71
39,p0,289
40,p0,232
41,p1,256
42,p0,166
43,p1,65
44,p1,29
45,p0,233
46,p1,258
47,p0,174
48,p0,242
49,p1,261
50,p0,275
