game,winner,selections
1,p0,177
2,p0,242
3,p1,181
4,p1,280
5,p0,112
6,p0,12
7,p0,124
8,p1,305
9,p0,218
10,p1,252
11,p0,219
12,p1,59
13,p1,45
14,p0,169
15,p0,219
16,p0,239
17,p0,73
18,p0,276
19,p1,242
20,p0,105
21,p0,259
22,p0,238
23,p0,14
24,p1,213
25,p0,15
26,p1,193
27,p1,242
28,p1,25
29,p0,260
30,p1,182
31,p1,101
32,p1,215
33,p1,61
34,p1,206
35,p1,286
36,p0,293
37,p1,81
38,p1,219
39,p0,84
40,p1,160
41,p0,193
42,p0,303
43,p1,199
44,p1,193
45,p0,265
46,p0,257
47,p0,240
48,p0,224
49,p0,293
50,p0,20
