game,winner,selections
1,p0,238
2,p0,219
3,p0,260
4,p0,262
5,p0,364
6,p1,210
7,p1,206
8,p1,308
9,p1,354
10,p0,244
11,p0,131
12,p1,297
13,p0,251
14,p0,304
15,p1,111
16,p1,227
17,p1,244
18,p1,278
19,p1,187
20,p1,299
21,p1,235
22,p0,309
23,p0,247
24,p0,191
25,p0,160
26,p0,329
27,p1,147
28,p1,313
29,p1,248
30,p0,173
31,p0,114
32,p0,272
33,p1,335
34,p1,199
35,p1,233
36,p0,109
37,p1,306
38,p1,282
39,p1,443
40,p0,260
41,p0,210
42,p0,319
43,p0,391
44,p0,291
45,p1,206
46,p0,335
47,p0,54
48,p1,225
49,p0,357
50,p0,249
