game,winner,selections
1,p0,232
2,p0,36
3,p0,147
4,p0,312
5,p1,302
6,p0,261
7,p0,335
8,p0,187
9,p0,197
10,p0,86
11,p0,339
12,p1,331
13,p0,262
14,p0,177
15,p1,220
16,p0,227
17,p0,292
18,p1,217
19,p0,269
20,p0,377
21,p0,323
22,p1,288
23,p0,320
24,p1,140
25,p0,302
26,p1,300
27,p1,111
28,p0,188
29,p0,232
30,p1,218
31,p1,131
32,p1,205
33,p0,264
34,p0,264
35,p1,228
36,p1,227
37,p0,114
38,p1,195
39,p0,318
40,p1,262
41,p0,219
42,p0,263
43,p0,173
44,p0,173
45,p0,346
46,p0,280
47,p0,288
48,p1,334
49,p1,244
50,p0,220
