game,winner,selections
1,p1,94
2,p1,169
3,p1,150
4,p1,178
5,p1,225
6,p0,228
7,p1,224
8,p1,199
9,p1,231
10,p1,239
11,p0,216
12,p1,209
13,p1,178
14,p1,166
15,p1,220
16,p1,203
17,p1,215
18,p1,119
19,p0,215
20,p1,246
21,p1,160
22,p0,213
23,p1,239
24,p1,186
25,p0,226
26,p1,219
27,p0,215
28,p1,134
29,p1,135
30,p0,177
31,p0,215
32,p0,111
33,p1,177
34,p1,176
35,p1,214
36,p0,223
37,p1,277
38,p1,217
39,p1,201
40,p1,234
41,p1,242
42,p1,48
43,p1,230
44,p0,112
45,p0,151
46,p1,235
47,p0,182
48,p1,233
49,p0,29
50,p0,49
