game,winner,selections
1,p0,71
2,p1,275
3,p0,229
4,p0,194
5,p1,298
6,p1,229
7,p1,240
8,p0,18
9,p1,187
10,p1,82
11,p0,133
12,p1,82
13,p1,225
14,p1,29
15,p0,236
16,p1,192
17,p0,126
18,p0,197
19,p1,124
20,p1,207
21,p0,150
22,p0,230
23,p0,207
24,p1,278
25,p0,212
26,p1,208
27,p1,27
28,p0,147
29,p0,249
30,p0,170
31,p1,254
32,p0,183
33,p0,221
34,p1,237
35,p0,18
36,p1,251
37,p0,253
38,p0,247
39,p1,252
40,p1,257
41,p1,15
42,p1,140
43,p0,269
44,p1,286
45,p0,248
46,p0,123
47,p1,240
48,p0,158
49,p0,192
50,p0,25
