game,winner,selections
1,p0,22
2,p1,192
3,p0,328
4,p0,252
5,p0,175
6,p1,224
7,p1,286
8,p1,253
9,p1,133
10,p1,26
11,p1,284
12,p1,140
13,p1,121
14,p1,224
15,p0,192
16,p0,244
17,p0,255
18,p0,278
19,p0,221
20,p0,170
21,p0,209
22,p0,132
23,p0,232
24,p0,212
25,p1,179
26,p1,176
27,p1,183
28,p1,52
29,p0,260
30,p1,310
31,p1,21
32,p1,205
33,p0,154
34,p1,213
35,p0,171
36,p1,231
37,p1,18
38,p1,23
39,p1,236
40,p1,274
41,p1,177
42,p0,78
43,p0,165
44,p1,170
45,p1,254
46,p1,160
47,p1,178
48,p0,205
49,p1,138
50,p1,134
